variant,gen,repertoire_diversity,opponent_diversity,hof_size,hof_mean_informativeness,opp_mean_perturbations
COEVOLVE_D,2,0.7615822913587896,0.5338937566307914,5.0,5.6032495241483126e-05,0.66
COEVOLVE_D,3,0.7414677462581414,0.5120799548367728,5.0,6.36821082957326e-05,0.7933333333333332
COEVOLVE_D,4,0.7189564205325174,0.4808927502627329,5.0,6.842037454293649e-05,0.8166666666666669
COEVOLVE_D,5,0.6801351475856033,0.47538849949137935,5.0,7.388882124419425e-05,0.99
COEVOLVE_D,6,0.634471634316431,0.4645628538410465,5.0,7.555405647624344e-05,1.1233333333333329
COEVOLVE_D,7,0.6203362684845425,0.4451351257538043,5.0,7.715152456949729e-05,1.3299999999999998
COEVOLVE_D,8,0.6336289976184086,0.44864050990345006,5.0,7.954697445334224e-05,1.4066666666666665
COEVOLVE_D,9,0.6196965974497719,0.45892099876798886,5.0,7.962915868180108e-05,1.4899999999999998
COEVOLVE_D,10,0.60772796062441,0.43939330272074917,5.0,7.995786351730221e-05,1.69
COEVOLVE_D,11,0.6264575698745799,0.41196807011668835,5.0,7.995786351730221e-05,1.866666666666667
COEVOLVE_D,12,0.6400922067509228,0.4149964386322104,5.0,7.995786351730221e-05,1.9799999999999998
COEVOLVE_D,13,0.6249866019614073,0.40675574395081937,5.0,8.038764970993822e-05,2.243333333333333
COEVOLVE_D,14,0.6181943529624907,0.39794008034522993,5.0,8.094260249452486e-05,2.2333333333333334
COEVOLVE_D,15,0.5950054733098328,0.395976328486681,5.0,8.094260249452486e-05,2.3233333333333333
COEVOLVE_D,16,0.5915579042318844,0.39179117530878144,5.0,8.094578432690314e-05,2.376666666666666
COEVOLVE_D,17,0.5852256510172694,0.37074221185910516,5.0,8.094578432690314e-05,2.2933333333333334
COEVOLVE_D,18,0.585396269945246,0.3647306146978809,5.0,8.094578432690314e-05,2.3933333333333335
COEVOLVE_D,19,0.5639073732200433,0.37723477049723264,5.0,8.094578432690314e-05,2.5899999999999994
COEVOLVE_D,20,0.5368616890378666,0.3501152121168366,5.0,8.097060736842279e-05,2.5766666666666667
COEVOLVE_D,21,0.5253091578530741,0.3315137295292695,5.0,8.1018575193285e-05,2.5966666666666667
COEVOLVE_D,22,0.5402643114870443,0.34256414960160175,5.0,8.1018575193285e-05,2.99
COEVOLVE_D,23,0.5194399744092674,0.32250038383450963,5.0,8.104087263707206e-05,2.8466666666666662
COEVOLVE_D,24,0.5267878176689204,0.3194139103263297,5.0,8.108904977412275e-05,3.1700000000000004
COEVOLVE_D,25,0.5449189705332815,0.3048295576038135,5.0,8.108904977412275e-05,2.9166666666666665
COEVOLVE_D,26,0.5541943074407052,0.29985499290858453,5.0,8.108904977412275e-05,3.0000000000000004
COEVOLVE_D,27,0.5547704748732204,0.30753741723178385,5.0,8.125714279382884e-05,2.98
COEVOLVE_D,28,0.5284437744238999,0.3047491146385836,5.0,8.126955468688224e-05,3.043333333333334
COEVOLVE_D,29,0.5431477272800881,0.2773826216276756,5.0,8.15466683599074e-05,2.9733333333333336
COEVOLVE_D,30,0.5241346714899847,0.2842682416300755,5.0,8.185052351167548e-05,3.2533333333333334
COEVOLVE_D,31,0.5198885808858309,0.2801866266328355,5.0,8.235533157348699e-05,3.3466666666666662
COEVOLVE_D,32,0.5134620848044208,0.25341987130579685,5.0,8.357374386715447e-05,3.776666666666666
COEVOLVE_D,33,0.49502736166932787,0.2783523843662194,5.0,8.377533492467009e-05,3.523333333333334
COEVOLVE_D,34,0.5058596514557521,0.285730074068977,5.0,8.42349291597053e-05,3.71
COEVOLVE_D,35,0.5210290328742236,0.27068662704324464,5.0,8.42349291597053e-05,3.64
COEVOLVE_D,36,0.5176901037492107,0.28646374571998867,5.0,8.467055314397611e-05,3.6566666666666667
COEVOLVE_D,37,0.4879748702683496,0.27459138783074394,5.0,8.489931552436066e-05,3.783333333333333
COEVOLVE_D,38,0.48133295125231895,0.291229677394495,5.0,8.489931552436066e-05,3.693333333333334
COEVOLVE_D,39,0.4650594192426242,0.2819260837355583,5.0,8.489931552436066e-05,3.7800000000000007
COEVOLVE_D,40,0.46866423946670616,0.2952018774217117,5.0,8.489931552436066e-05,3.7700000000000005
COEVOLVE_D,41,0.49335279727032455,0.2885553044887355,5.0,8.497088867364794e-05,4.013333333333334
COEVOLVE_D,42,0.4628955301946159,0.285648322544394,5.0,8.497088867364794e-05,3.913333333333334
COEVOLVE_D,43,0.4423085544723672,0.29027852216580224,5.0,8.497088867364794e-05,4.153333333333333
